question,triage
Observing very rapid irregular heartbeat and dizziness in 34 year old just after taking my medication. Should we go to ER?,urgent
"I'm 50, man, feeling uncontrolled bleeding after dental procedure after intense abdominal cramps. Is this urgent?",urgent
Can you help? I'm a 33 year old and I just had mental confusion and agitation in elderly just after taking my medication.,urgent
"Patient: 67 years, . Presents: severe abdominal pain with vomiting following a seizure. Admission needed?",urgent
How urgent is blood in stool with strong abdominal pain after intense abdominal cramps for someone aged 48?,urgent
"I am 59 years old boy. Since after eating unknown food, I have been having heavy bleeding from a deep cut in the leg. Should I go to the emergency room?",urgent
"What should I do right now about severe dehydration after prolonged vomiting while exercising? Age 34, woman.",urgent
"Patient: 43 years, . Presents: severe allergic reaction with tongue swelling after a cycling accident. Admission needed?",urgent
Emergency? breathing difficulty and wheezing after bee sting started with sweating and nausea in a 26 year old he.,urgent
Emergency? excruciating testicular pain and swelling started after an episode of choking in a 85 year old .,urgent
Observing breathing difficulty and wheezing after bee sting in 70 year old her after a car accident. Should we go to ER?,urgent
"My father, aged 49, suddenly got loss of movement in both arms after electric shock after returning from traveling abroad. Is this life-threatening?",urgent
"79 years old, with loss of consciousness after a head injury after being stung by an insect. Really scared, advice please!",urgent
I have severe abdominal pain with vomiting since while exercising. I am 39 years old. Emergency?,urgent
I have acute eye pain and sudden vision blurring since after an episode of choking. I am 56 years old. Emergency?,urgent
"Worried! major burns with skin peeling off started in my brother, aged 53, after a fever for three days.",urgent
"Rushed my baby sister (50, ) to hospital because of sudden vision loss in one eye. Was this the right thing?",urgent
"ER or wait? severe sudden back pain and weakness in legs after a cycling accident, age 69.",urgent
"My mother, aged 17, suddenly got loss of movement in both arms after electric shock as soon as I started running. Is this life-threatening?",urgent
How urgent is unable to speak and face drooping on one side with very high fever for someone aged 45?,urgent
My my sibling (25 years old) just developed new epileptic seizures for the first time just after taking my medication. Should we call an ambulance?,urgent
"I'm 1, , feeling choking and cannot breathe just after taking my medication. Is this urgent?",urgent
"Do I need to worry about uncontrolled bleeding after dental procedure? I'm 19, he, it started while at work.",urgent
Can you help? I'm a 43 year old he and I just had seizures with high fever just after taking my medication.,urgent
"Is vomiting blood and feeling faint after intense abdominal cramps dangerous? Happened to my partner, 23 years old.",urgent
Observing loss of consciousness after a head injury in 18 year old man after a fever for three days. Should we go to ER?,urgent
"I live with a 60 year old her, now they are experiencing blood in stool with strong abdominal pain while at work. Do I need to act fast?",urgent
"I'm 28, man, feeling difficulty speaking and weakness on one side of the body when I woke up. Is this urgent?",urgent
"My aunt, aged 81, suddenly got vomiting blood and feeling faint since this morning. Is this life-threatening?",urgent
How urgent is very rapid irregular heartbeat and dizziness during the night for someone aged 48?,urgent
My my patient (58 years old) just developed severe persistent headache and stiff neck after a fever for three days. Should we call an ambulance?,urgent
"not able to pass urine and distended abdomen with mental confusion, happened to a 85 year old. Is this time critical?",urgent
How urgent is acute eye pain and sudden vision blurring after fainting at home for someone aged 42?,urgent
Observing blood in stool with strong abdominal pain in 39 year old while shopping. Should we go to ER?,urgent
"mental confusion and agitation in elderly when I tried to stand up, happened to a 61 year old. Is this time critical?",urgent
"I'm 7, girl, feeling severe persistent headache and stiff neck just after taking my medication. Is this urgent?",urgent
Can you help? I'm a 2 year old woman and I just had seizures with high fever while at work.,urgent
"Is sudden vision loss in one eye while exercising dangerous? Happened to my son, 77 years old.",urgent
"What should I do right now about excruciating testicular pain and swelling after a cycling accident? Age 80, .",urgent
Observing sudden severe chest pain and shortness of breath in 25 year old girl since this morning. Should we go to ER?,urgent
"I'm 59, he, feeling excruciating testicular pain and swelling after fainting at home. Is this urgent?",urgent
"I live with a 83 year old him, now they are experiencing unable to speak and face drooping on one side following a fall down the stairs. Do I need to act fast?",urgent
"What should I do right now about unable to speak and face drooping on one side since this morning? Age 49, man.",urgent
"I live with a 67 year old her, now they are experiencing sudden chest tightness after intense exercise with very high fever. Do I need to act fast?",urgent
"Is heavy bleeding from a deep cut in the leg during the night dangerous? Happened to my son, 25 years old.",urgent
Observing swallowing household product (poison ingestion) in 42 year old during the night. Should we go to ER?,urgent
"severe abdominal pain with vomiting after a fever for three days, happened to a 55 year old. Is this time critical?",urgent
"My stepson, aged 23, suddenly got breathing difficulty and wheezing after bee sting after a car accident. Is this life-threatening?",urgent
"Rushed my my classmate (70, man) to hospital because of mental confusion and agitation in elderly. Was this the right thing?",urgent
"Worried! vomiting blood and feeling faint started in my stepdaughter, aged 81, after a cycling accident.",urgent
"15 years old, she with severe sudden back pain and weakness in legs following a seizure. Really scared, advice please!",urgent
My baby sister (48 years old) just developed excruciating testicular pain and swelling for the past hour. Should we call an ambulance?,urgent
My boyfriend (3 years old) just developed seizures with high fever when I tried to stand up. Should we call an ambulance?,urgent
Can you help? I'm a 19 year old he and I just had severe abdominal pain with vomiting during a meal.,urgent
"I am 89 years old . Since with very high fever, I have been having vomiting blood and feeling faint. Should I go to the emergency room?",urgent
"Worried! breathing difficulty and wheezing after bee sting started in my cousin, aged 26, after a dental procedure.",urgent
In what cases should someone with broken bone visible through skin after a fever for three days (age 74) seek emergency care?,urgent
"47 years old, with high fever and purple skin spots after a fever for three days. Really scared, advice please!",urgent
"Do I need to worry about seizures with high fever? I'm 78, he, it started after fainting at home.",urgent
"Patient: 22 years, he. Presents: major burns with skin peeling off during a meal. Admission needed?",urgent
"Is swallowing household product (poison ingestion) during the night dangerous? Happened to my boyfriend, 67 years old.",urgent
"I am 66 years old . Since following a fall down the stairs, I have been having intense abdominal pain after eating questionable food. Should I go to the emergency room?",urgent
"My neighbor, aged 86, suddenly got loss of consciousness after a head injury after a cycling accident. Is this life-threatening?",urgent
Can you help? I'm a 89 year old boy and I just had high fever and purple skin spots as soon as I started running.,urgent
How urgent is breathing difficulty and wheezing after bee sting following a fall down the stairs for someone aged 19?,urgent
"Is loss of consciousness after a head injury while exercising dangerous? Happened to my father, 66 years old.",urgent
"Is uncontrolled bleeding after dental procedure after eating unknown food dangerous? Happened to my cousin, 81 years old.",urgent
"47 years old, man with sudden vision loss in one eye after a heated argument. Really scared, advice please!",urgent
"I'm 86, girl, feeling mental confusion and agitation in elderly with very high fever. Is this urgent?",urgent
"My stepdaughter, aged 25, suddenly got breathing difficulty and wheezing after bee sting when I woke up. Is this life-threatening?",urgent
"I am 26 years old . Since during a meal, I have been having severe dehydration after prolonged vomiting. Should I go to the emergency room?",urgent
"ER or wait? not able to pass urine and distended abdomen after an episode of choking, age 80.",urgent
"I'm 38, , feeling excruciating testicular pain and swelling after an episode of choking. Is this urgent?",urgent
I have severe persistent headache and stiff neck since following heavy exertion. I am 24 years old. Emergency?,urgent
"Rushed my stepmother (60, her) to hospital because of severe dehydration after prolonged vomiting. Was this the right thing?",urgent
"Rushed my baby sister (38, ) to hospital because of severe persistent headache and stiff neck. Was this the right thing?",urgent
"41 years old, with sudden vision loss in one eye during the night. Really scared, advice please!",urgent
My my parent (38 years old) just developed severe abdominal pain with vomiting following a seizure. Should we call an ambulance?,urgent
"I'm 58, , feeling acute eye pain and sudden vision blurring when I woke up. Is this urgent?",urgent
"Worried! broken bone visible through skin started in my my child, aged 47, after being stung by an insect.",urgent
"I suddenly have seizures with high fever and I am 65 years old . I'm really scared, what do I do?",urgent
"Rushed my stepfather (76, ) to hospital because of high fever and purple skin spots. Was this the right thing?",urgent
"I am 56 years old . Since after intense abdominal cramps, I have been having loss of movement in both arms after electric shock. Should I go to the emergency room?",urgent
"I live with a 40 year old boy, now they are experiencing severe dehydration after prolonged vomiting when I tried to stand up. Do I need to act fast?",urgent
"29 years old, her with vomiting and severe diarrhea in a small child with mental confusion. Really scared, advice please!",urgent
"I live with a 55 year old woman, now they are experiencing intense abdominal pain after eating questionable food after a dental procedure. Do I need to act fast?",urgent
"What should I do right now about sudden chest tightness after intense exercise while shopping? Age 33, him.",urgent
In what cases should someone with new epileptic seizures for the first time with blue lips (age 19) seek emergency care?,urgent
My stepdaughter (37 years old) just developed very rapid irregular heartbeat and dizziness after an episode of choking. Should we call an ambulance?,urgent
I have intense abdominal pain after eating questionable food since after eating unknown food. I am 21 years old. Emergency?,urgent
Can you help? I'm a 1 year old him and I just had vomiting and severe diarrhea in a small child with blue lips.,urgent
Observing swallowing household product (poison ingestion) in 42 year old he while shopping. Should we go to ER?,urgent
"Patient: 67 years, . Presents: very rapid irregular heartbeat and dizziness following a seizure. Admission needed?",urgent
"Is loss of movement in both arms after electric shock for the past hour dangerous? Happened to my baby sister, 53 years old.",urgent
"45 years old, him with loss of movement in both arms after electric shock following heavy exertion. Really scared, advice please!",urgent
"I am 15 years old man. Since after eating unknown food, I have been having choking and cannot breathe. Should I go to the emergency room?",urgent
Can you help? I'm a 24 year old and I just had new epileptic seizures for the first time after a heated argument.,urgent
How urgent is sudden vision loss in one eye after returning from traveling abroad for someone aged 17?,urgent
"My my teammate, aged 64, suddenly got blood in stool with strong abdominal pain as soon as I started running. Is this life-threatening?",urgent
How urgent is heavy bleeding from a deep cut in the leg after a fever for three days for someone aged 68?,urgent
"I'm 55, , feeling sudden chest tightness after intense exercise with sweating and nausea. Is this urgent?",urgent
"I'm 42, her, feeling difficulty speaking and weakness on one side of the body after being stung by an insect. Is this urgent?",urgent
"Do I need to worry about mental confusion and agitation in elderly? I'm 24, she, it started when I tried to stand up.",urgent
"sudden vision loss in one eye when I woke up, happened to a 53 year old. Is this time critical?",urgent
"My stepson, aged 72, suddenly got choking and cannot breathe with blue lips. Is this life-threatening?",urgent
Emergency? unable to speak and face drooping on one side started when I woke up in a 66 year old .,urgent
"I suddenly have sudden severe chest pain and shortness of breath and I am 13 years old woman. I'm really scared, what do I do?",urgent
I have not able to pass urine and distended abdomen since while shopping. I am 61 years old. Emergency?,urgent
"Rushed my daughter (4, him) to hospital because of severe abdominal pain with vomiting. Was this the right thing?",urgent
"Do I need to worry about new epileptic seizures for the first time? I'm 84, , it started just after taking my medication.",urgent
Observing sudden vision loss in one eye in 66 year old her after fainting at home. Should we go to ER?,urgent
"I suddenly have sudden vision loss in one eye and I am 7 years old he. I'm really scared, what do I do?",urgent
"I live with a 59 year old boy, now they are experiencing loss of consciousness after a head injury during the night. Do I need to act fast?",urgent
Observing choking and cannot breathe in 57 year old he following a fall down the stairs. Should we go to ER?,urgent
"I'm 18, him, feeling choking and cannot breathe after a car accident. Is this urgent?",urgent
"heavy bleeding from a deep cut in the leg with very high fever, happened to a 78 year old. Is this time critical?",urgent
"I live with a 61 year old , now they are experiencing severe allergic reaction with tongue swelling while exercising. Do I need to act fast?",urgent
Emergency? severe sudden back pain and weakness in legs started after intense abdominal cramps in a 48 year old he.,urgent
Can you help? I'm a 54 year old man and I just had difficulty speaking and weakness on one side of the body since this morning.,urgent
How urgent is seizures with high fever after returning from traveling abroad for someone aged 35?,urgent
"22 years old, man with vomiting and severe diarrhea in a small child after an episode of choking. Really scared, advice please!",urgent
"Rushed my roommate (15, she) to hospital because of high fever and purple skin spots. Was this the right thing?",urgent
"I'm 75, her, feeling not able to pass urine and distended abdomen while at work. Is this urgent?",urgent
"Is severe persistent headache and stiff neck after eating unknown food dangerous? Happened to my boyfriend, 36 years old.",urgent
In what cases should someone with sudden chest tightness after intense exercise after eating unknown food (age 75) seek emergency care?,urgent
How urgent is choking and cannot breathe after a heated argument for someone aged 66?,urgent
"What should I do right now about blood in stool with strong abdominal pain after being stung by an insect? Age 73, .",urgent
Emergency? intense abdominal pain after eating questionable food started after a heated argument in a 39 year old him.,urgent
"I suddenly have blood in stool with strong abdominal pain and I am 31 years old girl. I'm really scared, what do I do?",urgent
"What should I do right now about severe persistent headache and stiff neck when I tried to stand up? Age 47, .",urgent
"I live with a 65 year old man, now they are experiencing choking and cannot breathe after a fever for three days. Do I need to act fast?",urgent
"ER or wait? choking and cannot breathe for the past hour, age 24.",urgent
Can you help? I'm a 21 year old and I just had breathing difficulty and wheezing after bee sting with mental confusion.,urgent
"swallowing household product (poison ingestion) with mental confusion, happened to a 40 year old. Is this time critical?",urgent
"Patient: 8 years, him. Presents: intense abdominal pain after eating questionable food with very high fever. Admission needed?",urgent
"Patient: 73 years, . Presents: loss of movement in both arms after electric shock in the middle of the night. Admission needed?",urgent
"What should I do right now about sudden vision loss in one eye following heavy exertion? Age 66, .",urgent
Emergency? uncontrolled bleeding after dental procedure started with blue lips in a 83 year old girl.,urgent
"I am 6 years old man. Since while exercising, I have been having broken bone visible through skin. Should I go to the emergency room?",urgent
Observing sudden severe chest pain and shortness of breath in 43 year old boy in the middle of the night. Should we go to ER?,urgent
"Do I need to worry about unable to speak and face drooping on one side? I'm 86, she, it started with blue lips.",urgent
"I am 45 years old she. Since after a fever for three days, I have been having severe allergic reaction with tongue swelling. Should I go to the emergency room?",urgent
"choking and cannot breathe when I tried to stand up, happened to a 88 year old. Is this time critical?",urgent
"Do I need to worry about high fever and purple skin spots? I'm 8, her, it started since this morning.",urgent
"My my student, aged 81, suddenly got uncontrolled bleeding after dental procedure after fainting at home. Is this life-threatening?",urgent
"Worried! severe persistent headache and stiff neck started in my my student, aged 37, after intense abdominal cramps.",urgent
"Do I need to worry about sudden chest tightness after intense exercise? I'm 3, , it started following heavy exertion.",urgent
"Patient: 65 years, he. Presents: vomiting and severe diarrhea in a small child after an episode of choking. Admission needed?",urgent
"I am 66 years old woman. Since with blue lips, I have been having breathing difficulty and wheezing after bee sting. Should I go to the emergency room?",urgent
Emergency? difficulty speaking and weakness on one side of the body started while shopping in a 24 year old she.,urgent
"My my sibling, aged 23, suddenly got sudden severe chest pain and shortness of breath as soon as I started running. Is this life-threatening?",urgent
"ER or wait? sudden severe chest pain and shortness of breath when I woke up, age 25.",urgent
Can you help? I'm a 21 year old girl and I just had mental confusion and agitation in elderly just after taking my medication.,urgent
Observing vomiting and severe diarrhea in a small child in 19 year old since this morning. Should we go to ER?,urgent
My boyfriend (77 years old) just developed breathing difficulty and wheezing after bee sting following a fall down the stairs. Should we call an ambulance?,urgent
"Rushed my my teammate (84, her) to hospital because of seizures with high fever. Was this the right thing?",urgent
My partner (4 years old) just developed seizures with high fever during a meal. Should we call an ambulance?,urgent
"88 years old, man with heavy bleeding from a deep cut in the leg with mental confusion. Really scared, advice please!",urgent
"I live with a 74 year old man, now they are experiencing difficulty speaking and weakness on one side of the body after eating unknown food. Do I need to act fast?",urgent
My daughter (35 years old) just developed heavy bleeding from a deep cut in the leg after fainting at home. Should we call an ambulance?,urgent
"Rushed my baby sister (60, woman) to hospital because of uncontrolled bleeding after dental procedure. Was this the right thing?",urgent
"10 years old, him with very rapid irregular heartbeat and dizziness during the night. Really scared, advice please!",urgent
"I am 61 years old she. Since following heavy exertion, I have been having excruciating testicular pain and swelling. Should I go to the emergency room?",urgent
"Do I need to worry about vomiting and severe diarrhea in a small child? I'm 1, he, it started after a dental procedure.",urgent
In what cases should someone with difficulty speaking and weakness on one side of the body while exercising (age 82) seek emergency care?,urgent
"Rushed my my twin (78, boy) to hospital because of loss of consciousness after a head injury. Was this the right thing?",urgent
In what cases should someone with high fever and purple skin spots as soon as I started running (age 55) seek emergency care?,urgent
"I suddenly have sudden vision loss in one eye and I am 31 years old woman. I'm really scared, what do I do?",urgent
"Is difficulty speaking and weakness on one side of the body after being stung by an insect dangerous? Happened to my stepfather, 60 years old.",urgent
My my teacher (35 years old) just developed sudden severe chest pain and shortness of breath with blue lips. Should we call an ambulance?,urgent
In what cases should someone with intense abdominal pain after eating questionable food after a heated argument (age 69) seek emergency care?,urgent
Observing blood in stool with strong abdominal pain in 70 year old girl while shopping. Should we go to ER?,urgent
"Worried! very rapid irregular heartbeat and dizziness started in my aunt, aged 67, for the past hour.",urgent
"Is intense abdominal pain after eating questionable food after a fever for three days dangerous? Happened to my my boss, 79 years old.",urgent
How urgent is major burns with skin peeling off in the middle of the night for someone aged 75?,urgent
Can you help? I'm a 88 year old woman and I just had major burns with skin peeling off after eating unknown food.,urgent
"Worried! breathing difficulty and wheezing after bee sting started in my my classmate, aged 60, following heavy exertion.",urgent
"Rushed my colleague (67, woman) to hospital because of mental confusion and agitation in elderly. Was this the right thing?",urgent
"Is intense abdominal pain after eating questionable food after an episode of choking dangerous? Happened to my our housekeeper, 62 years old.",urgent
"Is vomiting blood and feeling faint with sweating and nausea dangerous? Happened to my my patient, 42 years old.",urgent
Can you help? I'm a 78 year old boy and I just had vomiting and severe diarrhea in a small child for the past hour.,urgent
"I live with a 9 year old , now they are experiencing severe abdominal pain with vomiting just after taking my medication. Do I need to act fast?",urgent
"What should I do right now about severe allergic reaction with tongue swelling since this morning? Age 37, him.",urgent
"Do I need to worry about acute eye pain and sudden vision blurring? I'm 67, boy, it started following a seizure.",urgent
My boyfriend (22 years old) just developed high fever and purple skin spots since this morning. Should we call an ambulance?,urgent
I have major burns with skin peeling off since after intense abdominal cramps. I am 53 years old. Emergency?,urgent
"Patient: 76 years, . Presents: intense abdominal pain after eating questionable food with sweating and nausea. Admission needed?",urgent
"Rushed my stepmother (18, he) to hospital because of sudden severe chest pain and shortness of breath. Was this the right thing?",urgent
How urgent is blood in stool with strong abdominal pain as soon as I started running for someone aged 30?,urgent
"Worried! very rapid irregular heartbeat and dizziness started in my friend, aged 17, with very high fever.",urgent
"What should I do right now about breathing difficulty and wheezing after bee sting following heavy exertion? Age 73, .",urgent
Can you help? I'm a 65 year old woman and I just had not able to pass urine and distended abdomen after intense abdominal cramps.,urgent
"I'm 77, he, feeling excruciating testicular pain and swelling as soon as I started running. Is this urgent?",urgent
"What should I do right now about sudden severe chest pain and shortness of breath in the middle of the night? Age 28, him.",urgent
Observing breathing difficulty and wheezing after bee sting in 25 year old when I tried to stand up. Should we go to ER?,urgent
"What should I do right now about breathing difficulty and wheezing after bee sting while shopping? Age 85, her.",urgent
"What should I do right now about excruciating testicular pain and swelling after a fever for three days? Age 74, .",urgent
"I live with a 9 year old him, now they are experiencing choking and cannot breathe just after taking my medication. Do I need to act fast?",urgent
"Do I need to worry about intense abdominal pain after eating questionable food? I'm 62, she, it started while shopping.",urgent
"I live with a 88 year old woman, now they are experiencing sudden severe chest pain and shortness of breath after eating unknown food. Do I need to act fast?",urgent
"My brother, aged 84, suddenly got loss of consciousness after a head injury with mental confusion. Is this life-threatening?",urgent
"I suddenly have breathing difficulty and wheezing after bee sting and I am 49 years old woman. I'm really scared, what do I do?",urgent
"2 years old, with high fever and purple skin spots after a dental procedure. Really scared, advice please!",urgent
Observing difficulty speaking and weakness on one side of the body in 48 year old she while at work. Should we go to ER?,urgent
"ER or wait? high fever and purple skin spots when I woke up, age 1.",urgent
Observing seizures with high fever in 18 year old him after intense abdominal cramps. Should we go to ER?,urgent
My my teammate (3 years old) just developed acute eye pain and sudden vision blurring while at work. Should we call an ambulance?,urgent
In what cases should someone with choking and cannot breathe during a meal (age 13) seek emergency care?,urgent
"I am 74 years old he. Since after a car accident, I have been having severe dehydration after prolonged vomiting. Should I go to the emergency room?",urgent
Observing breathing difficulty and wheezing after bee sting in 13 year old she when I tried to stand up. Should we go to ER?,urgent
"I live with a 76 year old woman, now they are experiencing seizures with high fever just after taking my medication. Do I need to act fast?",urgent
How urgent is severe dehydration after prolonged vomiting while at work for someone aged 72?,urgent
"I am 7 years old . Since after eating unknown food, I have been having difficulty speaking and weakness on one side of the body. Should I go to the emergency room?",urgent
"ER or wait? loss of consciousness after a head injury after a fever for three days, age 24.",urgent
"I suddenly have swallowing household product (poison ingestion) and I am 28 years old girl. I'm really scared, what do I do?",urgent
Emergency? broken bone visible through skin started with mental confusion in a 36 year old man.,urgent
"I suddenly have sudden vision loss in one eye and I am 64 years old . I'm really scared, what do I do?",urgent
"ER or wait? loss of consciousness after a head injury during a meal, age 65.",urgent
My my boss (31 years old) just developed seizures with high fever following heavy exertion. Should we call an ambulance?,urgent
Emergency? excruciating testicular pain and swelling started with mental confusion in a 74 year old .,urgent
Observing blood in stool with strong abdominal pain in 52 year old woman while exercising. Should we go to ER?,urgent
Can you help? I'm a 63 year old and I just had sudden vision loss in one eye with blue lips.,urgent
"Do I need to worry about sudden chest tightness after intense exercise? I'm 32, him, it started after fainting at home.",urgent
Emergency? acute eye pain and sudden vision blurring started following a seizure in a 37 year old him.,urgent
"Patient: 88 years, . Presents: excruciating testicular pain and swelling just after taking my medication. Admission needed?",urgent
"My niece, aged 41, suddenly got high fever and purple skin spots during a meal. Is this life-threatening?",urgent
"I'm 66, , feeling breathing difficulty and wheezing after bee sting for the past hour. Is this urgent?",urgent
"Do I need to worry about difficulty speaking and weakness on one side of the body? I'm 55, man, it started after an episode of choking.",urgent
I have sudden severe chest pain and shortness of breath since after a fever for three days. I am 12 years old. Emergency?,urgent
"Is severe abdominal pain with vomiting after fainting at home dangerous? Happened to my daughter, 34 years old.",urgent
My nephew (84 years old) just developed new epileptic seizures for the first time after eating unknown food. Should we call an ambulance?,urgent
"I live with a 33 year old her, now they are experiencing heavy bleeding from a deep cut in the leg with very high fever. Do I need to act fast?",urgent
In what cases should someone with not able to pass urine and distended abdomen with blue lips (age 46) seek emergency care?,urgent
"I'm 79, boy, feeling loss of movement in both arms after electric shock when I tried to stand up. Is this urgent?",urgent
I have heavy bleeding from a deep cut in the leg since with blue lips. I am 29 years old. Emergency?,urgent
"difficulty speaking and weakness on one side of the body after a fever for three days, happened to a 60 year old. Is this time critical?",urgent
"17 years old, boy with breathing difficulty and wheezing after bee sting after a cycling accident. Really scared, advice please!",urgent
"Do I need to worry about intense abdominal pain after eating questionable food? I'm 82, woman, it started after a cycling accident.",urgent
"My nephew, aged 71, suddenly got severe abdominal pain with vomiting for the past hour. Is this life-threatening?",urgent
"Do I need to worry about not able to pass urine and distended abdomen? I'm 52, , it started after intense abdominal cramps.",urgent
I have broken bone visible through skin since as soon as I started running. I am 7 years old. Emergency?,urgent
"blood in stool with strong abdominal pain for the past hour, happened to a 85 year old. Is this time critical?",urgent
"71 years old, he with blood in stool with strong abdominal pain after being stung by an insect. Really scared, advice please!",urgent
"My cousin, aged 57, suddenly got severe persistent headache and stiff neck as soon as I started running. Is this life-threatening?",urgent
"ER or wait? intense abdominal pain after eating questionable food when I tried to stand up, age 5.",urgent
Observing acute eye pain and sudden vision blurring in 16 year old him after a cycling accident. Should we go to ER?,urgent
"My our housekeeper, aged 37, suddenly got loss of consciousness after a head injury after a cycling accident. Is this life-threatening?",urgent
My aunt (43 years old) just developed breathing difficulty and wheezing after bee sting since this morning. Should we call an ambulance?,urgent
"30 years old, her with not able to pass urine and distended abdomen with mental confusion. Really scared, advice please!",urgent
"I am 20 years old . Since after a car accident, I have been having mental confusion and agitation in elderly. Should I go to the emergency room?",urgent
"I live with a 88 year old girl, now they are experiencing unable to speak and face drooping on one side after an episode of choking. Do I need to act fast?",urgent
"Patient: 45 years, man. Presents: seizures with high fever after intense abdominal cramps. Admission needed?",urgent
"Patient: 51 years, . Presents: vomiting blood and feeling faint in the middle of the night. Admission needed?",urgent
"Worried! loss of movement in both arms after electric shock started in my aunt, aged 4, after a dental procedure.",urgent
"I live with a 33 year old , now they are experiencing blood in stool with strong abdominal pain while shopping. Do I need to act fast?",urgent
Observing severe persistent headache and stiff neck in 83 year old boy with blue lips. Should we go to ER?,urgent
"blood in stool with strong abdominal pain after a dental procedure, happened to a 63 year old. Is this time critical?",urgent
I have sudden severe chest pain and shortness of breath since following a seizure. I am 73 years old. Emergency?,urgent
"What should I do right now about seizures with high fever for the past hour? Age 8, him.",urgent
"Worried! severe allergic reaction with tongue swelling started in my baby sister, aged 74, after eating unknown food.",urgent
"Rushed my my friend’s parent (48, he) to hospital because of swallowing household product (poison ingestion). Was this the right thing?",urgent
"Patient: 67 years, . Presents: unable to speak and face drooping on one side after fainting at home. Admission needed?",urgent
"I live with a 1 year old boy, now they are experiencing choking and cannot breathe since this morning. Do I need to act fast?",urgent
"I am 46 years old boy. Since just after taking my medication, I have been having choking and cannot breathe. Should I go to the emergency room?",urgent
"My colleague, aged 89, suddenly got severe allergic reaction with tongue swelling following a seizure. Is this life-threatening?",urgent
"I live with a 89 year old boy, now they are experiencing intense abdominal pain after eating questionable food as soon as I started running. Do I need to act fast?",urgent
"Patient: 37 years, she. Presents: severe persistent headache and stiff neck after a dental procedure. Admission needed?",urgent
How urgent is breathing difficulty and wheezing after bee sting after a fever for three days for someone aged 7?,urgent
"Do I need to worry about swallowing household product (poison ingestion)? I'm 80, boy, it started after a dental procedure.",urgent
"Rushed my my patient (17, girl) to hospital because of new epileptic seizures for the first time. Was this the right thing?",urgent
How urgent is swallowing household product (poison ingestion) in the middle of the night for someone aged 31?,urgent
"Patient: 56 years, woman. Presents: very rapid irregular heartbeat and dizziness when I woke up. Admission needed?",urgent
I have blood in stool with strong abdominal pain since after a cycling accident. I am 36 years old. Emergency?,urgent
Emergency? acute eye pain and sudden vision blurring started after returning from traveling abroad in a 82 year old boy.,urgent
"What should I do right now about breathing difficulty and wheezing after bee sting following a seizure? Age 22, boy.",urgent
"Is high fever and purple skin spots while exercising dangerous? Happened to my neighbor, 47 years old.",urgent
"What should I do right now about broken bone visible through skin when I woke up? Age 35, her.",urgent
"Worried! severe abdominal pain with vomiting started in my my parent, aged 14, after a heated argument.",urgent
"Is swallowing household product (poison ingestion) with mental confusion dangerous? Happened to my my sibling, 49 years old.",urgent
"Is intense abdominal pain after eating questionable food after intense abdominal cramps dangerous? Happened to my roommate, 1 years old.",urgent
My baby brother (29 years old) just developed excruciating testicular pain and swelling after a cycling accident. Should we call an ambulance?,urgent
"Rushed my roommate (19, ) to hospital because of mental confusion and agitation in elderly. Was this the right thing?",urgent
"ER or wait? sudden severe chest pain and shortness of breath just after taking my medication, age 51.",urgent
"blood in stool with strong abdominal pain after intense abdominal cramps, happened to a 73 year old. Is this time critical?",urgent
"65 years old, with sudden chest tightness after intense exercise following heavy exertion. Really scared, advice please!",urgent
"What should I do right now about new epileptic seizures for the first time after a car accident? Age 43, .",urgent
"I suddenly have vomiting blood and feeling faint and I am 53 years old woman. I'm really scared, what do I do?",urgent
"I'm 13, , feeling breathing difficulty and wheezing after bee sting during a meal. Is this urgent?",urgent
"48 years old, man with uncontrolled bleeding after dental procedure during the night. Really scared, advice please!",urgent
Observing loss of consciousness after a head injury in 52 year old girl when I tried to stand up. Should we go to ER?,urgent
"I'm 14, him, feeling loss of consciousness after a head injury with very high fever. Is this urgent?",urgent
"Rushed my colleague (35, ) to hospital because of intense abdominal pain after eating questionable food. Was this the right thing?",urgent
"68 years old, girl with swallowing household product (poison ingestion) as soon as I started running. Really scared, advice please!",urgent
"Rushed my baby sister (57, ) to hospital because of severe persistent headache and stiff neck. Was this the right thing?",urgent
"Do I need to worry about broken bone visible through skin? I'm 86, boy, it started after returning from traveling abroad.",urgent
"Worried! acute eye pain and sudden vision blurring started in my stepmother, aged 78, as soon as I started running.",urgent
I have vomiting blood and feeling faint since in the middle of the night. I am 26 years old. Emergency?,urgent
How urgent is very rapid irregular heartbeat and dizziness after a fever for three days for someone aged 51?,urgent
"Worried! high fever and purple skin spots started in my cousin, aged 27, while shopping.",urgent
Can you help? I'm a 37 year old and I just had not able to pass urine and distended abdomen after a dental procedure.,urgent
How urgent is very rapid irregular heartbeat and dizziness following heavy exertion for someone aged 88?,urgent
"What should I do right now about sudden chest tightness after intense exercise following a seizure? Age 83, boy.",urgent
"Worried! uncontrolled bleeding after dental procedure started in my my teammate, aged 54, after a cycling accident.",urgent
"Rushed my stepdaughter (26, woman) to hospital because of high fever and purple skin spots. Was this the right thing?",urgent
How urgent is new epileptic seizures for the first time after a heated argument for someone aged 8?,urgent
"I live with a 24 year old boy, now they are experiencing mental confusion and agitation in elderly following heavy exertion. Do I need to act fast?",urgent
"Do I need to worry about broken bone visible through skin? I'm 13, , it started after an episode of choking.",urgent
"ER or wait? not able to pass urine and distended abdomen with very high fever, age 50.",urgent
